date : 02:00 03/07/2022 | % : 0.24% | value : 464.49298004657084$ 
date : 02:00 04/07/2022 | % : 4.29% | value : 464.49298004657084$ 
date : 02:00 05/07/2022 | % : -0.22% | value : 464.49298004657084$ 
date : 02:00 06/07/2022 | % : 1.89% | value : 464.49298004657084$ 
date : 02:00 07/07/2022 | % : 4.85% | value : 464.49298004657084$ 
date : 02:00 08/07/2022 | % : -0.43% | value : 464.49298004657084$ 
date : 02:00 09/07/2022 | % : 0.01% | value : 464.49298004657084$ 
date : 02:00 10/07/2022 | % : 3.37% | value : 464.49298004657084$ 
date : 02:00 11/07/2022 | % : 4.32% | value : 464.49298004657084$ 
date : 02:00 12/07/2022 | % : 3.50% | value : 464.49298004657084$ 
date : 02:00 13/07/2022 | % : 3.28% | value : 464.49298004657084$ 
date : 02:00 14/07/2022 | % : 2.05% | value : 464.49298004657084$ 
date : 02:00 15/07/2022 | % : 1.48% | value : 464.49298004657084$ 
date : 02:00 16/07/2022 | % : 1.81% | value : 464.49298004657084$ 
date : 02:00 17/07/2022 | % : 1.91% | value : 464.49298004657084$ 
date : 02:00 18/07/2022 | % : 6.01% | value : 464.49298004657084$ 
date : 02:00 19/07/2022 | % : 4.28% | value : 464.49298004657084$ 
date : 02:00 20/07/2022 | % : 0.75% | value : 464.49298004657084$ 
date : 02:00 21/07/2022 | % : 0.74% | value : 464.49298004657084$ 
date : 02:00 22/07/2022 | % : 1.44% | value : 464.49298004657084$ 
date : 02:00 23/07/2022 | % : 1.35% | value : 464.49298004657084$ 
date : 02:00 24/07/2022 | % : 0.58% | value : 464.49298004657084$ 
date : 02:00 25/07/2022 | % : 4.94% | value : 464.49298004657084$ 
date : 02:00 26/07/2022 | % : 2.09% | value : 464.49298004657084$ 
date : 02:00 27/07/2022 | % : 5.35% | value : 464.49298004657084$ 
date : 02:00 28/07/2022 | % : 3.94% | value : 464.49298004657084$ 
date : 02:00 29/07/2022 | % : 0.30% | value : 464.49298004657084$ 
date : 02:00 30/07/2022 | % : 0.17% | value : 464.49298004657084$ 
date : 02:00 31/07/2022 | % : 1.51% | value : 464.49298004657084$ 
date : 02:00 01/08/2022 | % : 0.43% | value : 464.49298004657084$ 
date : 02:00 02/08/2022 | % : 1.29% | value : 464.49298004657084$ 
date : 02:00 03/08/2022 | % : 0.38% | value : 464.49298004657084$ 
date : 02:00 04/08/2022 | % : 1.08% | value : 464.49298004657084$ 
date : 02:00 05/08/2022 | % : 2.86% | value : 464.49298004657084$ 
date : 02:00 06/08/2022 | % : 1.57% | value : 464.49298004657084$ 
date : 02:00 07/08/2022 | % : 0.98% | value : 464.49298004657084$ 
date : 02:00 08/08/2022 | % : 2.65% | value : 464.49298004657084$ 
date : 02:00 09/08/2022 | % : 2.86% | value : 464.49298004657084$ 
date : 02:00 10/08/2022 | % : 3.28% | value : 464.49298004657084$ 
date : 02:00 11/08/2022 | % : -0.42% | value : 464.49298004657084$ 
date : 02:00 12/08/2022 | % : 1.93% | value : 464.49298004657084$ 
date : 02:00 13/08/2022 | % : 0.42% | value : 464.49298004657084$ 
date : 02:00 14/08/2022 | % : 0.43% | value : 464.49298004657084$ 
date : 02:00 15/08/2022 | % : 0.67% | value : 464.49298004657084$ 
date : 02:00 16/08/2022 | % : 1.00% | value : 464.49298004657084$ 
date : 02:00 17/08/2022 | % : 1.69% | value : 464.49298004657084$ 
date : 02:00 18/08/2022 | % : 0.65% | value : 464.49298004657084$ 
date : 02:00 19/08/2022 | % : 6.87% | value : 464.49298004657084$ 
date : 02:00 20/08/2022 | % : 1.45% | value : 464.49298004657084$ 
date : 02:00 21/08/2022 | % : 1.89% | value : 464.49298004657084$ 
date : 02:00 22/08/2022 | % : 0.75% | value : 464.49298004657084$ 
date : 02:00 23/08/2022 | % : 0.60% | value : 464.49298004657084$ 
date : 02:00 24/08/2022 | % : 0.38% | value : 464.49298004657084$ 
date : 02:00 25/08/2022 | % : 0.89% | value : 464.49298004657084$ 
date : 02:00 26/08/2022 | % : 3.63% | value : 464.49298004657084$ 
date : 02:00 27/08/2022 | % : 1.01% | value : 464.49298004657084$ 
date : 02:00 28/08/2022 | % : 2.39% | value : 464.49298004657084$ 
date : 02:00 29/08/2022 | % : 3.35% | value : 464.49298004657084$ 
date : 02:00 30/08/2022 | % : 2.45% | value : 464.49298004657084$ 
date : 02:00 31/08/2022 | % : 1.18% | value : 464.49298004657084$ 
date : 02:00 01/09/2022 | % : 0.09% | value : 464.49298004657084$ 
date : 02:00 02/09/2022 | % : 0.55% | value : 464.49298004657084$ 
date : 02:00 03/09/2022 | % : 0.60% | value : 464.49298004657084$ 
date : 02:00 04/09/2022 | % : 0.58% | value : 464.49298004657084$ 
date : 02:00 05/09/2022 | % : 1.03% | value : 464.49298004657084$ 
date : 02:00 06/09/2022 | % : 3.08% | value : 464.49298004657084$ 
date : 02:00 07/09/2022 | % : 2.60% | value : 464.49298004657084$ 
date : 02:00 08/09/2022 | % : 0.14% | value : 464.49298004657084$ 
date : 02:00 09/09/2022 | % : 6.04% | value : 464.49298004657084$ 
date : 02:00 10/09/2022 | % : 1.32% | value : 464.49298004657084$ 
date : 02:00 11/09/2022 | % : 0.82% | value : 464.49298004657084$ 
date : 02:00 12/09/2022 | % : 2.56% | value : 464.49298004657084$ 
date : 02:00 13/09/2022 | % : 6.35% | value : 464.49298004657084$ 
date : 02:00 14/09/2022 | % : 0.26% | value : 464.49298004657084$ 
date : 02:00 15/09/2022 | % : 2.70% | value : 464.49298004657084$ 
date : 02:00 16/09/2022 | % : 0.12% | value : 464.49298004657084$ 
date : 02:00 17/09/2022 | % : 1.57% | value : 464.49298004657084$ 
